,GID_0,NAME_0,NAME_1,LANDLESS,A0.1,A1.2,A2.5,A5.10,A10.20,A20.,A0.2,A0.5,A0.10,A0.20,N0.1,N1.2,N2.5,N5.10,N10.20,N20.,N0.2,N0.5,N0.10,N0.20,PA0.1,PA1.2,PA2.5,PA5.10,PA10.20,PA20.,PA0.2,PA0.5,PA0.10,PA0.20,PN0.1,PN1.2,PN2.5,PN5.10,PN10.20,PN20.,PN0.2,PN0.5,PN0.10,PN0.20
407,RWA,Rwanda,Umutara,105376.0825,1332.720299,7874.295923,56978.43699,334827.8654,1420927.799,12073680.75,9207.016222,66185.45321,401013.3186,1821941.118,3361.649292,6270.930298,17601.95689,44639.47086,102356.4266,269665.4243,9632.57959,27234.53648,71874.00734,174230.4339,9.59E-05,0.000566675,0.00410046,0.024095925,0.10225723,0.868883801,0.000662584,0.004763044,0.028858969,0.131116199,0.006120191,0.011416804,0.032045979,0.081270255,0.186349273,0.490950665,0.017536996,0.049582974,0.13085323,0.317202502
409,RWA,Rwanda,Kibungo,88753.11636,11232.16931,35595.36709,346858.4954,904536.212,2187493.497,15791265,46827.5364,393686.0318,1298222.244,3485715.741,14932.99048,25065.1188,90882.90492,122779.8945,151486.1674,365564.2592,39998.10928,130881.0142,253660.9087,405147.0761,0.000582673,0.001846522,0.017993404,0.046923127,0.113476977,0.819177298,0.002429195,0.020422598,0.067345725,0.180822702,0.017374762,0.029163648,0.105743646,0.14285628,0.176256467,0.425339592,0.04653841,0.152282057,0.295138337,0.471394803
413,RWA,Rwanda,Kibuye,15824.77609,6826.050679,10912.23296,232550.6675,582793.9246,1935522.34,11377860.6,17738.28364,250288.9511,833082.8758,2768605.216,11895.40486,7004.469482,62843.15521,77962.64943,134058.84,238816.6653,18899.87434,81743.02956,159705.679,293764.519,0.000482527,0.000771375,0.016438782,0.041197139,0.136820204,0.804289972,0.001253902,0.017692684,0.058889824,0.195710028,0.021690874,0.012772417,0.1145924,0.142162294,0.244451829,0.435474234,0.034463291,0.149055691,0.291217985,0.535669814
414,RWA,Rwanda,Gisenyi,39435.14807,27731.13843,106690.5464,774032.4862,1774886.995,2858740.989,4103245.48,134421.6849,908454.1711,2683341.166,5542082.155,49871.81339,68792.40396,224858.7447,240565.615,204420.5522,140926.2386,118664.2173,343522.9621,584088.577,788509.1292,0.002875085,0.011061371,0.080249476,0.184015211,0.296386095,0.425412763,0.013936456,0.094185932,0.278201142,0.574587237,0.051474178,0.071002681,0.232083381,0.248294907,0.210988516,0.145454151,0.122476859,0.354560239,0.602855147,0.813843663
416,RWA,Rwanda,Cyangugu,29163.3656,17551.27441,59002.51342,417206.2267,754356.0903,2086826.461,5470526.364,76553.78783,493760.0146,1248116.105,3334942.566,29111.66005,39892.38853,130742.0514,105677.7812,148048.8918,146027.2209,69004.04858,199746.0999,305423.8811,453472.7729,0.001993224,0.006700667,0.047380353,0.085669042,0.236992087,0.621264626,0.008693891,0.056074244,0.141743286,0.378735374,0.046307232,0.063455883,0.207968302,0.168099158,0.235497885,0.232282061,0.109763115,0.317731417,0.485830575,0.72132846
420,RWA,Rwanda,City Of Kigali,15993.19994,15186.7267,26568.06668,139080.1747,328714.755,414506.2636,3839030.818,41754.79337,180834.9681,509549.7231,924055.9867,37918.3486,19410.60197,37440.67168,45140.48581,30950.62689,67753.19431,57328.95058,94769.62225,139910.1081,170860.735,0.003188421,0.005577909,0.029199589,0.069012968,0.087024713,0.8059964,0.008766331,0.037965919,0.106978887,0.1940036,0.148928856,0.076237465,0.147052723,0.177294666,0.121562295,0.266108787,0.225166321,0.372219044,0.54951371,0.671076004
423,SEN,Senegal,Dakar,12380.44531,10024.97669,759.68573,36771.55078,28591.76245,89746.35498,0,10784.66242,47556.2132,76147.97566,165894.3306,12647.50153,506.4571533,12257.18359,4232.25415,5983.090332,0,13153.95868,25411.14227,29643.39642,35626.48676,0.060429893,0.004579335,0.221656464,0.172349244,0.540985063,0,0.065009228,0.286665693,0.459014937,1,0.263451568,0.010549667,0.255321119,0.08815923,0.124629716,0,0.274001235,0.529322354,0.617481583,0.7421113
424,SEN,Senegal,Diourbel,11599.61353,32404.71749,210769.4808,770745.8937,1651656.98,947510.2393,597046.1233,243174.1983,1013920.092,2665577.072,3613087.311,49180.76907,105384.7404,206152.3668,202544.7527,64656.73193,22851.7533,154565.5095,360717.8763,563262.6289,627919.3609,0.007696839,0.050062423,0.183069232,0.392305138,0.225054682,0.141811687,0.057759262,0.240828493,0.633133632,0.858188313,0.074249611,0.159102352,0.311234114,0.305787596,0.097614114,0.034499944,0.233351963,0.544586077,0.850373674,0.947987788
425,SEN,Senegal,Fatick,7007.134644,41024.73625,140858.5316,757813.8785,1145806.605,763428.1144,331575.3252,181883.2679,939697.1464,2085503.752,2848931.866,45581.91882,72676.4159,200147.6359,134926.5774,53935.90466,13766.98004,118258.3347,318405.9706,453332.548,507268.4527,0.012898803,0.044288072,0.238268249,0.360259083,0.24003345,0.104252343,0.057186875,0.295455124,0.655714207,0.895747657,0.086322432,0.137633631,0.379036934,0.25552216,0.1021431,0.026071724,0.223956063,0.602992998,0.858515158,0.960658258
426,SEN,Senegal,Kaffrine,423.8980961,8011.424393,29952.01651,455591.9966,1318141.286,907081.9271,952380.3644,37963.4409,493555.4375,1811696.724,2718778.651,8202.315475,15830.48137,111001.6344,162583.5101,54755.25932,19003.64745,24032.79684,135034.4312,297617.9413,352373.2007,0.00218226,0.008158736,0.124100317,0.359053171,0.247083257,0.259422259,0.010340996,0.134441313,0.493494484,0.740577741,0.022061052,0.042577863,0.298551403,0.43728667,0.14727044,0.051112451,0.064638915,0.363190318,0.800476988,0.947747427
427,SEN,Senegal,Kaolack,0,2568.039436,71183.74667,839905.7821,1386654.673,798423.4441,466662.2944,73751.78611,913657.5682,2300312.242,3098735.686,2568.039436,38614.00795,211255.8017,188317.545,59665.81516,17880.38086,41182.04739,252437.849,440755.3941,500421.2092,0.000720267,0.019965162,0.235571397,0.388920026,0.223936696,0.130886453,0.020685429,0.256256826,0.645176851,0.869113547,0.00495472,0.074501041,0.407592424,0.363335843,0.115117947,0.034498024,0.079455761,0.487048186,0.850384028,0.965501976
428,SEN,Senegal,Kédougou,204.2016754,19049.75876,30415.47589,138312.0081,142886.6122,47686.80356,191128.4974,49465.23466,187777.2427,330663.8549,378350.6585,20827.81303,17107.35532,41841.34077,20870.63715,3180.09967,5929.673462,37935.16834,79776.50912,100647.1463,103827.2459,0.033451196,0.053409287,0.242874575,0.250907537,0.083737575,0.33561983,0.086860483,0.329735058,0.580642595,0.66438017,0.189410701,0.1555764,0.380510315,0.189800149,0.028920219,0.053925182,0.344987101,0.725497415,0.915297564,0.944217783
429,SEN,Senegal,Kolda,1053.685394,21907.75895,102110.8506,539771.8722,1206475.257,781868.2447,507488.3971,124018.6095,663790.4817,1870265.738,2652133.983,24826.62178,56153.25883,148161.061,159553.4916,57760.22968,13947.12012,80979.88062,229140.9416,388694.4332,446454.6629,0.006933664,0.032317422,0.170834298,0.381841597,0.247456231,0.160616788,0.039251086,0.210085384,0.591926982,0.839383212,0.053800688,0.121687276,0.321073367,0.345761406,0.125169672,0.030224195,0.175487964,0.496561331,0.842322737,0.967492409
430,SEN,Senegal,Louga,0,38162.96687,118729.1303,636060.9757,844599.0089,761515.9483,109212.6494,156892.0972,792953.0728,1637552.082,2399068.03,44717.8205,66661.35818,174768.3005,115460.3408,50897.43329,2874.01709,111379.1787,286147.4792,401607.82,452505.2533,0.015214791,0.047334866,0.25358445,0.336724281,0.303600771,0.043540841,0.062549657,0.316134107,0.652858388,0.956459159,0.098199069,0.146386457,0.383786246,0.253547643,0.111769324,0.00631126,0.244585527,0.628371772,0.881919416,0.99368874
431,SEN,Senegal,Matam,14917.4236,156490.8433,90777.75319,213034.0187,124740.8618,14227.02148,78404.09912,247268.5965,460302.6152,585043.4769,599270.4984,173701.2151,51026.93637,66858.74792,13043.30231,711.3510742,1472.426819,224728.1515,291586.8994,304630.2017,305341.5528,0.230923284,0.133954782,0.314360343,0.184071916,0.020993883,0.115695792,0.364878066,0.679238409,0.863310325,0.884304208,0.539895122,0.158601044,0.207809207,0.040540967,0.002211009,0.004576572,0.698496166,0.906305373,0.94684634,0.94905735
432,SEN,Senegal,Saint-Louis,2488.807617,126611.7291,134152.3145,168299.8385,143372.4953,0,126921.9736,260764.0435,429063.8821,572436.3774,572436.3774,173805.174,81147.08533,42815.11507,20873.42047,0,3317.748535,254952.2593,297767.3744,318640.7949,318640.7949,0.181039847,0.191821996,0.24064893,0.205005767,0,0.18148346,0.372861843,0.613510772,0.81851654,0.81851654,0.53569608,0.250108639,0.131963214,0.064335309,0,0.010225846,0.785804718,0.917767932,0.982103241,0.982103241
433,SEN,Senegal,Sédhiou,5573.284988,23673.90965,86765.5337,417576.2149,653791.6148,790155.9903,578904.8098,110439.4434,528015.6582,1181807.273,1971963.263,24995.98344,47586.53296,113853.628,82973.20399,53135.46844,18815.87366,72582.5164,186436.1444,269409.3484,322544.8169,0.009280727,0.03401412,0.163699652,0.256301618,0.309759646,0.226944237,0.043294847,0.206994499,0.463296117,0.773055763,0.072048243,0.137163081,0.32817088,0.239161367,0.153157293,0.054234739,0.209211324,0.537382204,0.776543572,0.929700864
434,SEN,Senegal,Tambacounda,1401.089203,28803.53266,150501.2182,588228.7802,492065.1851,270768.2805,160037.0724,179304.7509,767533.5311,1259598.716,1530366.997,32160.58328,76796.41197,152764.706,64218.95383,18389.13329,7473.580597,108956.9953,261721.7013,325940.6551,344329.7884,0.017039436,0.089032688,0.347981167,0.291093233,0.160179619,0.094673857,0.106072124,0.454053291,0.745146524,0.905326143,0.09105373,0.217427641,0.432510696,0.181818073,0.052063707,0.021159361,0.30848137,0.740992066,0.922810139,0.974873845
435,SEN,Senegal,Thiès,15608.74805,138669.4459,216084.1082,977428.9089,1533588.095,646685.7559,864608.0854,354753.554,1332182.463,2865770.558,3512456.314,143762.5157,110354.9056,255827.7961,191380.7151,40393.34131,28647.00391,254117.4214,509945.2175,701325.9326,741719.2739,0.031680924,0.049367359,0.223306952,0.350369096,0.147744172,0.197531498,0.081048283,0.304355235,0.65472433,0.802468502,0.182909776,0.140405105,0.325490999,0.243494652,0.051392652,0.036447728,0.32331488,0.648805879,0.892300531,0.943693183
436,SEN,Senegal,Ziguinchor,10760.86224,82746.39792,136130.0398,419572.5376,392622.7239,0,0,218876.4377,638448.9754,1031071.699,1031071.699,96604.74281,71947.62311,116841.2324,63201.84613,0,0,168552.3659,285393.5983,348595.4444,348595.4444,0.080252807,0.132027714,0.406928575,0.380790903,0,0,0.212280521,0.619209097,1,1,0.268827181,0.200212496,0.325140342,0.175875155,0,0,0.469039677,0.794180019,0.970055174,0.970055174
437,SLE,Sierra Leone,Eastern,16990.762,57286.113,128223.68,174905.484,51142.266,47007.707,19430.744,185509.793,360415.277,411557.543,458565.25,95113,90269.289,62007.625,7519.721,3720.854,511.058,185382.289,247389.914,254909.635,258630.489,0.12,0.268,0.366,0.107,0.098,0.041,0.388,0.754,0.861,0.959,0.344,0.327,0.225,0.027,0.013,0.002,0.671,0.896,0.923,0.936
438,SLE,Sierra Leone,Northern,13640.556,105957.367,178184.344,215487.797,48709.836,8491.526,126157.188,284141.711,499629.508,548339.344,556830.87,202500.078,126102.117,72888.289,7761.328,666.797,476.562,328602.195,401490.484,409251.812,409918.609,0.155,0.261,0.316,0.071,0.012,0.185,0.416,0.732,0.803,0.815,0.478,0.297,0.172,0.018,0.002,0.001,0.775,0.947,0.965,0.967
439,SLE,Sierra Leone,Southern,197455.891,6933.933,18085.695,25563.66,11636.037,14036.377,10445.886,25019.628,50583.288,62219.325,76255.702,23438.705,12631.68,8508.115,1754.476,987.313,189.587,36070.385,44578.5,46332.976,47320.289,0.08,0.209,0.295,0.134,0.162,0.12,0.289,0.584,0.718,0.88,0.096,0.052,0.035,0.007,0.004,0.001,0.148,0.183,0.19,0.194
440,SLE,Sierra Leone,Western,343205.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
441,SOM,Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,ZAF,South Africa,Eastern Cape,NA,36382.45678,11862.2168,0,0,0,NA,48244.67358,48244.67358,48244.67358,48244.67358,108158.5881,3954.072266,0,0,0,NA,112112.6604,112112.6604,112112.6604,112112.6604,0.754123804,0.245876196,0,0,0,NA,1,1,1,1,0.96473126,0.03526874,0,0,0,NA,1,1,1,1
443,ZAF,South Africa,Free State,NA,17032.48276,10543.73071,0,9364.329529,0,NA,27576.21347,27576.21347,36940.543,36940.543,53418.97669,3514.576904,0,1248.577271,0,NA,56933.5536,56933.5536,58182.13087,58182.13087,0.4610783,0.285424356,0,0.253497344,0,NA,0.746502656,0.746502656,1,1,0.918133728,0.060406466,0,0.021459807,0,NA,0.978540193,0.978540193,1,1
444,ZAF,South Africa,Gauteng,NA,19927.18549,0,0,0,0,NA,19927.18549,19927.18549,19927.18549,19927.18549,72351.54813,0,0,0,0,NA,72351.54813,72351.54813,72351.54813,72351.54813,1,0,0,0,0,NA,1,1,1,1,1,0,0,0,0,NA,1,1,1,1
445,ZAF,South Africa,Kwazulu-Natal,NA,45604.7931,4131.903282,0,7587.098236,3027.735214,NA,49736.69639,49736.69639,57323.79462,60351.52984,157719.9862,1377.301094,0,1011.613098,201.8490143,NA,159097.2873,159097.2873,160108.9004,160310.7494,0.755652644,0.068463936,0,0.125715094,0.050168326,NA,0.82411658,0.82411658,0.949831674,1,0.983839117,0.008591446,0,0.006310326,0.001259111,NA,0.992430563,0.992430563,0.998740889,1
446,ZAF,South Africa,Limpopo,NA,64171.85718,0,81265.59567,48302.26501,0,NA,64171.85718,145437.4529,193739.7179,193739.7179,209337.6733,0,27088.53189,6440.302002,0,NA,209337.6733,236426.2052,242866.5072,242866.5072,0.331227163,0,0.419457593,0.249315244,0,NA,0.331227163,0.750684756,1,1,0.861945419,0,0.111536713,0.026517868,0,NA,0.861945419,0.973482132,1,1
447,ZAF,South Africa,Mpumalanga,NA,13167.83461,21425.84363,0,7684.390869,0,NA,34593.67824,34593.67824,42278.06911,42278.06911,42815.36946,7141.947876,0,1024.585449,0,NA,49957.31734,49957.31734,50981.90279,50981.90279,0.311457805,0.506783873,0,0.181758321,0,NA,0.818241679,0.818241679,1,1,0.839815054,0.140087903,0,0.020097042,0,NA,0.979902958,0.979902958,1,1
448,ZAF,South Africa,North West,NA,2427.678421,0,0,0,0,NA,2427.678421,2427.678421,2427.678421,2427.678421,6508.545959,0,0,0,0,NA,6508.545959,6508.545959,6508.545959,6508.545959,1,0,0,0,0,NA,1,1,1,1,1,0,0,0,0,NA,1,1,1,1
449,ZAF,South Africa,Northern Cape,NA,957.5803223,0,0,0,0,NA,957.5803223,957.5803223,957.5803223,957.5803223,3830.321289,0,0,0,0,NA,3830.321289,3830.321289,3830.321289,3830.321289,1,0,0,0,0,NA,1,1,1,1,1,0,0,0,0,NA,1,1,1,1
450,ZAF,South Africa,Western Cape,NA,2826.577799,0,0,0,0,NA,2826.577799,2826.577799,2826.577799,2826.577799,11306.3112,0,0,0,0,NA,11306.3112,11306.3112,11306.3112,11306.3112,1,0,0,0,0,NA,1,1,1,1,1,0,0,0,0,NA,1,1,1,1
451,SSD,South Sudan,Lakes,184264.3689,12988.93805,0,0,0,0,0,12988.93805,12988.93805,12988.93805,12988.93805,499019.9133,0,0,0,0,0,499019.9133,499019.9133,499019.9133,499019.9133,1,0,0,0,0,0,1,1,1,1,0.730325468,0,0,0,0,0,0.730325468,0.730325468,0.730325468,0.730325468
452,SSD,South Sudan,Northern Bahr Al Ghazal,155763.0375,38006.54441,5015.8509,0,0,0,0,43022.39531,43022.39531,43022.39531,43022.39531,656164.8864,4206.416382,0,0,0,0,660371.3028,660371.3028,660371.3028,660371.3028,0.883413026,0.116586974,0,0,0,0,1,1,1,1,0.803991272,0.005154074,0,0,0,0,0.809145346,0.809145346,0.809145346,0.809145346
453,SSD,South Sudan,Warap,353188.7233,93599.37595,23819.95518,24271.86267,0,0,0,117419.3311,141691.1938,141691.1938,141691.1938,816565.3611,17335.32135,6728.933594,0,0,0,833900.6824,840629.616,840629.616,840629.616,0.660587108,0.168111754,0.171301137,0,0,0,0.828698863,1,1,1,0.683994653,0.014520904,0.00563648,0,0,0,0.698515557,0.704152037,0.704152037,0.704152037
454,SSD,South Sudan,Western Bahr Al Ghazal,142804.6643,8804.517747,1389.893365,1543.080706,0,0,0,10194.41111,11737.49182,11737.49182,11737.49182,166241.2698,827.3175049,612.3336182,0,0,0,167068.5873,167680.9209,167680.9209,167680.9209,0.750119181,0.118414853,0.131465966,0,0,0,0.868534034,1,1,1,0.535423471,0.002664592,0.001972181,0,0,0,0.538088064,0.540060244,0.540060244,0.540060244
455,SSD,South Sudan,Central Equatoria,594005.4548,29494.098,0,6499.217971,13751.15109,451029.1239,0,29494.098,35993.31597,49744.46706,500773.591,479818.9431,0,2763.272949,1842.182007,25547.59375,0,479818.9431,482582.216,484424.398,509971.9918,0.058897072,0,0.012978356,0.027459817,0.900664756,0,0.058897072,0.071875428,0.099335244,1,0.434627487,0,0.002503016,0.001668677,0.023141409,0,0.434627487,0.437130503,0.43879918,0.461940589
456,SSD,South Sudan,Eastern Equatoria,133941.8384,19326.15017,66964.16953,45830.13218,146895.8478,5962333.332,7166434.979,86290.3197,132120.4519,279016.2996,6241349.632,121345.3523,35865.50897,15182.56482,24007.33014,335394.1696,192334.5841,157210.8613,172393.4261,196400.7563,531794.9259,0.001441413,0.004994425,0.003418173,0.010956012,0.444691909,0.534498069,0.006435837,0.009854011,0.020810023,0.465501931,0.14141639,0.041797817,0.017693826,0.027978245,0.390869792,0.224147543,0.183214207,0.200908032,0.228886277,0.619756069
457,SSD,South Sudan,Western Equatoria,107108.6652,7837.067365,1697.824404,156287.1644,206933.7815,4887075.199,6850311.578,9534.891769,165822.0561,372755.8376,5259831.037,17048.26678,1115.15564,36030.38676,24579.76738,276811.3087,174602.6643,18163.42242,54193.80917,78773.57655,355584.8852,0.000647149,0.000140199,0.012905477,0.017087642,0.403552242,0.565667292,0.000787348,0.013692824,0.030780466,0.434332708,0.026750931,0.001749823,0.056536326,0.038568827,0.434352664,0.273974112,0.028500754,0.08503708,0.123605907,0.557958571
458,SSD,South Sudan,Jonglei,355310.375,42625.66018,47194.20428,155254.8882,988631.8986,3869788.996,300089.455,89819.86446,245074.7527,1233706.651,5103495.647,432061.1861,27797.5354,39948.34964,114591.8521,219857.9255,12903.68188,459858.7215,499807.0711,614398.9232,834256.8487,0.007888404,0.008733869,0.02873183,0.182958514,0.716152133,0.055535251,0.016622273,0.045354103,0.228312616,0.944464749,0.359311135,0.023117013,0.033221885,0.095296985,0.182838457,0.010730972,0.382428148,0.415650033,0.510947018,0.693785475
459,SSD,South Sudan,Unity,223279.599,41824.02929,25399.7808,38718.04923,60619.91096,0,0,67223.81009,105941.8593,166561.7703,166561.7703,275747.9588,16356.6944,11840.9599,10684.54259,0,0,292104.6532,303945.6131,314630.1557,314630.1557,0.251102214,0.152494662,0.232454597,0.363948527,0,0,0.403596876,0.636051473,1,1,0.512628664,0.030407878,0.022012912,0.019863076,0,0,0.543036542,0.565049454,0.58491253,0.58491253
460,SSD,South Sudan,Upper Nile,442177.3976,38696.49347,7339.830747,50019.9006,0,47000.46763,35099.82619,46036.32422,96056.22482,96056.22482,143056.6924,589696.5196,6267.6875,14746.77112,0,3318.1875,1658.000488,595964.2071,610710.9782,610710.9782,614029.1657,0.217205038,0.041198777,0.280763797,0,0.263815593,0.197016794,0.258403816,0.539167613,0.539167613,0.802983206,0.55744047,0.005924849,0.013940131,0,0.003136685,0.001567309,0.563365319,0.57730545,0.57730545,0.580442135
461,SDN,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,TZA,Tanzania,Northern,1601544.498,1194255.314,1896066.92,5237040.12,2432489.129,908634.1905,722491.3997,3090322.234,8327362.354,10759851.48,11668485.67,2204435.603,1381771.259,1673394.994,349788.4543,80398.91211,25023.36584,3586206.862,5259601.856,5609390.311,5689789.223,0.096381045,0.153019968,0.422649488,0.196311325,0.07333031,0.058307863,0.249401013,0.672050501,0.868361826,0.941692137,0.301302353,0.188860555,0.228719699,0.047809101,0.010988927,0.003420195,0.490162908,0.718882607,0.766691708,0.777680635
463,TZA,Tanzania,Eastern,4598215.221,556343.2813,1271315.871,2220249.872,1051887.969,575947.1349,750260.7737,1827659.153,4047909.025,5099796.994,5675744.129,1153785.846,895941.7089,721140.8512,164671.2123,43926.59595,30643.55273,2049727.555,2770868.406,2935539.618,2979466.214,0.086576853,0.197839231,0.345510143,0.16369237,0.089627559,0.116753844,0.284416084,0.629926227,0.793618597,0.883246156,0.151647813,0.117758076,0.094783129,0.021643557,0.005773491,0.004027635,0.269405889,0.364189018,0.385832575,0.391606066
464,TZA,Tanzania,Central,404991.5537,433293.0618,1470964.4,3299092.125,1777373.74,59297.42935,0,1904257.462,5203349.587,6980723.327,7040020.756,724396.4883,1037576.09,1049160.899,280850.4092,4440.216797,0,1761972.578,2811133.478,3091983.887,3096424.104,0.061547128,0.208943191,0.468619659,0.252467116,0.008422905,0,0.270490319,0.739109978,0.991577095,1,0.206886745,0.296330454,0.299639061,0.080210531,0.00126812,0,0.503217199,0.80285626,0.883066791,0.884334911
465,TZA,Tanzania,Southern Highlands,1095293.997,891586.1364,1929462.771,5159488.972,1269190.615,322401.9531,0,2821048.908,7980537.88,9249728.495,9572130.448,1714538.477,1374899.416,1670127.854,207525.6396,28905.84082,0,3089437.894,4759565.748,4967091.388,4995997.228,0.09314396,0.201570881,0.539011561,0.132592281,0.033681316,0,0.294714842,0.833726402,0.966318684,1,0.281473733,0.225715594,0.274182894,0.034069236,0.004745437,0,0.507189326,0.78137222,0.815441456,0.820186894
466,TZA,Tanzania,Lakes,1914720.938,1261089.854,2386557.041,6464964.813,1463440.246,803230.852,0,3647646.895,10112611.71,11576051.95,12379282.81,2587406.604,1729010.724,1999601.656,225868.6289,54628.38477,0,4316417.328,6316018.984,6541887.613,6596515.998,0.101870995,0.192786374,0.522240659,0.118216885,0.064885088,0,0.294657368,0.816898028,0.935114912,1,0.303998893,0.203144471,0.234936669,0.026537697,0.006418384,0,0.507143364,0.742080033,0.76861773,0.775036114
467,TZA,Tanzania,Zanzibar,820345.3787,185280.2487,55722.53855,0,0,0,0,241002.7873,241002.7873,241002.7873,241002.7873,426405.7123,43015.05615,0,0,0,0,469420.7684,469420.7684,469420.7684,469420.7684,0.768788821,0.231211179,0,0,0,0,1,1,1,1,0.330606997,0.033351051,0,0,0,0,0.363958047,0.363958047,0.363958047,0.363958047
469,TZA,Tanzania,Western,1253751.439,606890.019,1700980.238,7240964.856,6001763.074,5426456.916,3752687.738,2307870.257,9548835.114,15550598.19,20977055.1,1142005.717,1208206.603,2197813.375,902829.7864,385408.7695,151577.7949,2350212.319,4548025.694,5450855.481,5836264.25,0.024540895,0.068782771,0.292803888,0.242694116,0.219430382,0.151747948,0.093323666,0.386127554,0.62882167,0.848252052,0.157700887,0.166842644,0.303498585,0.124672807,0.053221542,0.020931553,0.324543531,0.628042116,0.752714923,0.805936465
472,TZA,Tanzania,Southern,475731.2409,385614.1688,1143790.773,3980262.111,1977964.327,100381.062,0,1529404.942,5509667.052,7487631.379,7588012.441,659296.1248,829419.1184,1279116.086,305746.7989,8479.855591,0,1488715.243,2767831.329,3073578.128,3082057.983,0.050818864,0.150736544,0.524546071,0.260669621,0.013228901,0,0.201555408,0.726101479,0.986771099,1,0.185310619,0.233127672,0.359525538,0.0859373,0.002383462,0,0.418438291,0.777963829,0.863901129,0.866284591
488,TGO,Togo,Centre,22586.803,12330.259,21870.367,87841.922,74604.484,86622.344,246814.75,34200.626,122042.548,196647.032,283269.376,27686.926,13955.379,26474.373,10565.389,6884.415,4822.436,41642.305,68116.678,78682.067,85566.482,0.023,0.041,0.166,0.141,0.163,0.466,0.064,0.23,0.371,0.534,0.245,0.124,0.234,0.094,0.061,0.043,0.369,0.603,0.697,0.758
489,TGO,Togo,Kara,30814.832,16348.007,31061.941,114652.992,70974.094,33157.484,156478.234,47409.948,162062.94,233037.034,266194.518,52618.016,19409.596,33408.223,10299.625,2361.611,2178.21,72027.612,105435.835,115735.46,118097.071,0.039,0.073,0.271,0.168,0.078,0.37,0.112,0.383,0.551,0.629,0.348,0.128,0.221,0.068,0.016,0.014,0.476,0.697,0.765,0.781
490,TGO,Togo,Maritime,377924.938,44885.641,68055.25,120066.914,67701.977,89900.18,898711.875,112940.891,233007.805,300709.782,390609.962,124649.375,44297.094,37251.73,9108.704,6253.899,7862.315,168946.469,206198.199,215306.903,221560.802,0.035,0.053,0.093,0.053,0.07,0.697,0.088,0.181,0.234,0.304,0.205,0.073,0.061,0.015,0.01,0.013,0.278,0.339,0.354,0.364
491,TGO,Togo,Plateaux,46834.855,37978.523,89594.93,248391.547,197865.547,194559.609,444535.938,127573.453,375965,573830.547,768390.156,65327.305,56023.289,73895.836,27634.451,13777.239,9758.874,121350.594,195246.43,222880.881,236658.12,0.031,0.074,0.205,0.163,0.16,0.366,0.105,0.31,0.473,0.633,0.223,0.191,0.252,0.094,0.047,0.033,0.414,0.666,0.76,0.807
492,TGO,Togo,Savanes,13256.822,11508.498,37895.664,125586.289,103423.469,31311.955,92665.258,49404.162,174990.451,278413.92,309725.875,28434.521,25059.613,36643.828,14893.598,2270.547,936.565,53494.134,90137.962,105031.56,107302.107,0.029,0.094,0.312,0.257,0.078,0.23,0.123,0.435,0.692,0.77,0.234,0.206,0.302,0.123,0.019,0.008,0.44,0.742,0.865,0.884
493,TUN,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,UGA,Uganda,Lake Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,UGA,Uganda,Mayuge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,UGA,Uganda,Western,NA,501028.9062,346225.0661,265338.8821,92759.61725,0,0,847253.9724,1112592.854,1205352.472,1205352.472,1094458.185,255996.3889,93864.48645,13498.60449,0,0,1350454.574,1444319.06,1457817.665,1457817.665,0.415670037,0.287239687,0.220133852,0.076956425,0,0,0.702909723,0.923043575,1,1,0.750751079,0.175602474,0.064386987,0.00925946,0,0,0.926353553,0.99074054,1,1
497,UGA,Uganda,North,NA,270100.3629,87342.56882,31673.2403,0,0,0,357442.9317,389116.172,389116.172,389116.172,845410.7938,66774.41076,11826.61078,0,0,0,912185.2045,924011.8153,924011.8153,924011.8153,0.694138107,0.224463991,0.081397903,0,0,0,0.918602097,1,1,1,0.914935047,0.072265754,0.012799199,0,0,0,0.987200801,1,1,1
