,GID_0,NAME_0,NAME_1,LANDLESS,A0.1,A1.2,A2.5,A5.10,A10.20,A20.,A0.2,A0.5,A0.10,A0.20,N0.1,N1.2,N2.5,N5.10,N10.20,N20.,N0.2,N0.5,N0.10,N0.20,PA0.1,PA1.2,PA2.5,PA5.10,PA10.20,PA20.,PA0.2,PA0.5,PA0.10,PA0.20,PN0.1,PN1.2,PN2.5,PN5.10,PN10.20,PN20.,PN0.2,PN0.5,PN0.10,PN0.20
354,MAR,Morocco,NA,NA,170361,420577,1495239,1894722,1880472,2870852,590938,2086177,3980899,5861371,380039,272412,411967,247766,125169,58996,652451,1064418,1312184,1437353,0.019509465,0.048163795,0.171232343,0.216980487,0.2153486,0.32876531,0.06767326,0.238905603,0.45588609,0.67123469,0.253977515,0.182051112,0.275314783,0.165580356,0.083649603,0.039426631,0.436028627,0.71134341,0.876923766,0.960573369
355,MOZ,Mozambique,Cabo Delgado,0,528653.8614,901406.6936,962104.3462,386190.6757,467845.2632,18719.88428,1430060.555,2392164.901,2778355.577,3246200.84,623584.4194,520303.3569,291555.3448,53744.56519,29884.48242,779.9951782,1143887.776,1435443.121,1489187.686,1519072.169,0.161919356,0.276088386,0.294679236,0.118284855,0.143294525,0.005733641,0.438007742,0.732686979,0.850971834,0.994266359,0.410292813,0.342338136,0.191831384,0.035361706,0.019662756,0.000513205,0.752630949,0.944462333,0.979824039,0.999486795
356,MOZ,Mozambique,Gaza,3027.157471,216334.6982,433296.582,1677271.008,964323.3914,374667.6937,72207.13599,649631.2802,2326902.288,3291225.68,3665893.374,325437.2905,256971.3589,482445.6155,142462.6327,26870.15308,3522.299316,582408.6494,1064854.265,1207316.898,1234187.051,0.057872895,0.115913572,0.44869607,0.257971499,0.100229433,0.019316531,0.173786467,0.622482537,0.880454036,0.980683469,0.262293637,0.207111951,0.388838091,0.114821021,0.021656615,0.002838878,0.469405588,0.858243679,0.9730647,0.994721315
357,MOZ,Mozambique,Inhambane,21088.54434,244998.9965,557877.3578,1098108.958,415039.0699,45597.57422,0,802876.3543,1900985.312,2316024.382,2361621.956,470935.2704,366761.6292,340196.893,58142.35107,2849.848389,0,837696.8996,1177893.793,1236036.144,1238885.992,0.103741836,0.23622636,0.464980839,0.17574323,0.019307736,0,0.339968195,0.804949034,0.980692264,1,0.373765705,0.291086541,0.270002991,0.046145656,0.00226183,0,0.664852245,0.934855236,0.981000892,0.983262722
358,MOZ,Mozambique,Manica,0,149264.8292,919462.3441,2096705.338,356719.2549,59693.69922,0,1068727.173,3165432.511,3522151.766,3581845.465,174849.8061,520832.3698,648494.6386,51494.81702,5090.1604,0,695682.1759,1344176.815,1395671.632,1400761.792,0.041672604,0.25670073,0.585370128,0.099590912,0.016665627,0,0.298373334,0.883743462,0.983334373,1,0.124824797,0.3718208,0.462958543,0.036762009,0.003633852,0,0.496645597,0.95960414,0.996366148,1
359,MOZ,Mozambique,Maputo,4040.395142,171145.2373,148757.1035,346677.6798,266622.3466,0,0,319902.3408,666580.0206,933202.3671,933202.3671,375716.9315,86263.78223,100230.6329,31581.09454,0,0,461980.7137,562211.3466,593792.4411,593792.4411,0.183395631,0.159404979,0.371492499,0.285706891,0,0,0.34280061,0.714293109,1,1,0.628464863,0.144294152,0.16765662,0.052825962,0,0,0.772759015,0.940415635,0.993241597,0.993241597
360,MOZ,Mozambique,Maputo City,198.6281433,65503.36177,28858.05817,35340.34195,3120.508118,9379.662933,82988.22601,94361.41994,129701.7619,132822.27,142201.9329,130046.704,17473.38019,10088.82181,312.0508118,815.6228638,3416.117096,147520.0842,157608.906,157920.9568,158736.5797,0.290880215,0.12814973,0.156935552,0.013857214,0.041652188,0.368525101,0.419029945,0.575965497,0.589822711,0.631474899,0.801020282,0.107626964,0.062141912,0.001922071,0.005023814,0.02104151,0.908647246,0.970789158,0.972711229,0.977735043
361,MOZ,Mozambique,Nampula,1073.616455,1124361.318,1715722.068,2547347.035,710731.5032,323082.9059,0,2840083.386,5387430.421,6098161.924,6421244.83,1699579.058,1042859.76,802895.9979,98714.97205,24968.08411,0,2742438.818,3545334.816,3644049.788,3669017.872,0.17510021,0.267194619,0.396706106,0.11068438,0.050314684,0,0.442294829,0.839000936,0.949685316,1,0.463089017,0.284150889,0.218767298,0.026897142,0.006803123,0,0.747239906,0.966007204,0.992904346,0.999707469
362,MOZ,Mozambique,Nassa,1861.655273,283618.729,733556.1285,1296757.427,338943.9261,68736.4248,0,1017174.857,2313932.285,2652876.211,2721612.636,315857.8794,397494.3314,381267.1172,51098.10605,4254.334351,0,713352.2108,1094619.328,1145717.434,1149971.768,0.104209808,0.269529954,0.476466566,0.124537901,0.025255771,0,0.373739762,0.850206328,0.974744229,1,0.274221839,0.345097063,0.331008902,0.04436241,0.003693533,0,0.619318902,0.950327804,0.994690213,0.998383746
363,MOZ,Mozambique,Sofala,0,428017.9338,726431.9876,1113617.797,504547.4617,277224.0818,0,1154449.921,2268067.718,2772615.18,3049839.262,630785.689,438939.4236,348010.6372,70916.47849,18893.92017,0,1069725.113,1417735.75,1488652.228,1507546.148,0.140341145,0.238186975,0.365139832,0.165434116,0.090897932,0,0.37852812,0.743667952,0.909102068,1,0.418418826,0.291161517,0.230845761,0.047041,0.012532897,0,0.709580343,0.940426103,0.987467103,1
364,MOZ,Mozambique,Tete,1378.158813,216875.7898,921380.3488,2841936.8,902801.8134,427522.5494,0,1138256.139,3980192.939,4882994.752,5310517.301,298442.4469,517277.4944,815736.6039,133133.6751,29910.00354,0,815719.9413,1631456.545,1764590.22,1794500.224,0.04083892,0.173501054,0.535152536,0.170002612,0.080504878,0,0.214339974,0.749492509,0.919495122,1,0.166181881,0.288035927,0.454227086,0.074132901,0.016654805,0,0.454217807,0.908444893,0.982577794,0.999232599
365,MOZ,Mozambique,Zambezia,2548.433289,1193050.637,2173741.95,1897600.109,284653.3223,182246.9042,351350.7727,3366792.586,5264392.696,5549046.018,5731292.922,1853053.511,1458704.969,607741.6846,45023.5195,16467.39209,3482.168213,3311758.48,3919500.164,3964523.684,3980991.076,0.196140148,0.357367957,0.311969631,0.046797632,0.029961792,0.05776284,0.553508105,0.865477736,0.912275368,0.94223716,0.464771366,0.365863315,0.152429993,0.011292519,0.004130249,0.000873376,0.830634681,0.983064674,0.994357193,0.998487442
366,NAM,Namibia,!Karas,1699.489,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.477,0,0,0,0,0,3.477,3.477,3.477,3.477,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0,0,0,0,0,0.002,0.002,0.002,0.002
367,NAM,Namibia,Erongo,1835.512,5.16,18.914,NA,NA,NA,NA,24.074,NA,NA,NA,85.013,15.032,0,0,0,0,100.045,100.045,100.045,100.045,0.214,0.786,NA,NA,NA,NA,1,NA,NA,NA,0.044,0.008,0,0,0,0,0.052,0.052,0.052,0.052
368,NAM,Namibia,Hardap,600.408,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.254,0,0,0,0,0,18.254,18.254,18.254,18.254,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,0,0,0,0.03,0.03,0.03,0.03
369,NAM,Namibia,Kavango,1877.563,3090.511,8155.306,30054.887,21274.385,8829.328,30681.688,11245.817,41300.704,62575.089,71404.417,5889.023,5493.97,9652.591,3124.934,665.899,195.525,11382.993,21035.584,24160.518,24826.417,0.03,0.08,0.294,0.208,0.086,0.301,0.11,0.404,0.612,0.698,0.219,0.204,0.359,0.116,0.025,0.007,0.423,0.782,0.898,0.923
370,NAM,Namibia,Khomas,124.152,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625,0,0,0,0,0,3.625,3.625,3.625,3.625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,0,0,0,0,0,0.028,0.028,0.028,0.028
371,NAM,Namibia,Kunene,3341.518,1079.184,836.42,469.683,213.394,76.353,NA,1915.604,2385.287,2598.681,2675.034,2513.207,587.731,192.84,32.624,5.573,0,3100.938,3293.778,3326.402,3331.975,0.403,0.313,0.176,0.08,0.029,NA,0.716,0.892,0.972,1.001,0.377,0.088,0.029,0.005,0.001,0,0.465,0.494,0.499,0.5
372,NAM,Namibia,Ohangwena,2076.26,4192.094,17600.789,57477.809,41159.305,15479.722,1320.515,21792.883,79270.692,120429.997,135909.719,6632.972,11905.861,18776.229,6232.165,1186.591,58.916,18538.833,37315.062,43547.227,44733.818,0.031,0.128,0.419,0.3,0.113,0.01,0.159,0.578,0.878,0.991,0.142,0.254,0.401,0.133,0.025,0.001,0.396,0.797,0.93,0.955
373,NAM,Namibia,Omaheke,2863.343,173.869,139.902,114.25,167.087,NA,326.048,313.771,428.021,595.108,NA,453.074,97.947,32.374,22.028,0,13.254,551.021,583.395,605.423,605.423,0.189,0.152,0.124,0.181,NA,0.354,0.341,0.465,0.646,NA,0.13,0.028,0.009,0.006,0,0.004,0.158,0.167,0.173,0.173
374,NAM,Namibia,Omusati,4354.278,4104.044,22291.215,82560.57,40808.266,16810.723,7327.558,26395.259,108955.829,149764.095,166574.818,6587.748,14490.257,25590.816,6511.464,1317.713,59.921,21078.005,46668.821,53180.285,54497.998,0.024,0.128,0.475,0.235,0.097,0.042,0.152,0.627,0.862,0.959,0.112,0.246,0.434,0.111,0.022,0.001,0.358,0.792,0.903,0.925
375,NAM,Namibia,Oshana,389.192,1671.628,8661.116,34162.785,7746.071,1895.882,13222.038,10332.744,44495.529,52241.6,54137.482,2402.398,5695.517,11356.689,1207.514,148.573,140.782,8097.915,19454.604,20662.118,20810.691,0.025,0.129,0.507,0.115,0.028,0.196,0.154,0.661,0.776,0.804,0.113,0.267,0.532,0.057,0.007,0.007,0.38,0.912,0.969,0.976
376,NAM,Namibia,Oshikoto,740.228,2206.497,11101.288,48990.934,37016.637,8988.124,2702.756,13307.785,62298.719,99315.356,108303.48,3419.795,7307.992,14919.153,5489.265,676.545,48.831,10727.787,25646.94,31136.205,31812.75,0.02,0.1,0.441,0.333,0.081,0.024,0.12,0.561,0.894,0.975,0.105,0.224,0.458,0.168,0.021,0.001,0.329,0.787,0.955,0.976
377,NAM,Namibia,Otjozondjupa,3333.749,359.851,98.129,292.225,70.228,NA,398.013,457.98,750.205,820.433,NA,1140.612,81.221,105.739,9.044,0,11.537,1221.833,1327.572,1336.616,1336.616,0.295,0.081,0.24,0.058,NA,0.327,0.376,0.616,0.674,NA,0.244,0.017,0.023,0.002,0,0.002,0.261,0.284,0.286,0.286
378,NAM,Namibia,Zambezi,1862.366,1629.424,3539.772,6435.688,4554.664,2474.939,53180.84,5169.196,11604.884,16159.548,18634.487,3452.668,2528.986,2008.537,708.8,178.526,190.189,5981.654,7990.191,8698.991,8877.517,0.023,0.049,0.09,0.063,0.034,0.741,0.072,0.162,0.225,0.259,0.316,0.231,0.184,0.065,0.016,0.017,0.547,0.731,0.796,0.812
